old_scheme_id,old_name,new_name
27177,Simlaguri PWSS,Simlaguri Laodanga PWSS
27235,KONWAR CHUK ,KONWAR CHUK 2
27237,Gohain Bari PWSS,GOHAIN BARI 2
27278,"Purba Sunapur, Tikarbasti PWSS",Norshingpur Quarter Line PWSS
27540,Saijang PWSS,Phuljang PWSS
27543,Ramanagar zone 1 PWSS,Surumanthi PWSS
27544,Ram Rongphar (Borjan) PWSS,Jilangso PWSS
27545,Mohiram Bey (Borjan) PWSS,Upper Adivasi PWSS
27546,Kherjuram PWSS,Moi Engti PWSS
27552,Burichattam-Nepalibasti PWSS,BURICHATTAM I PWSS
27573,DHOPTAL MPWSS,Dhoportol PWSS
27574,KALIPARA PWSS,Kaliapara PWSS
27581,Bhagwati mandir chuba muslim PWSS,Bhagwati Mandir Chuba PWSS
27608,New Borjan PWSS,New Borjan PWSS
27609,Sarthe Tisso PWSS,Bey Arong PWSS
27620,New Manja PWSS,New Manja PWSS
27624,Lower Tarapung Zone I PWSS,Bura Taro PWSS
27646,Laharaijan Natun Basti PWSS,Nothong Teron PWSS
27647,C.C.I Ouary PWSS,Chiri Adong PWSS
27712,Kerapur PWSS,Jaraguri I PWSS
27734,Dakhin Polashguri PWSS,POLASHGURI II PWSS
27735,Polashguri Nashirpara PWSS,POLASHGURI III PWSS
27771,Khalpani PWSS,Joldoba New PWSS
27832,BORO BINNYAKHATA NO.2 PWSS,JOYMA KATHALGURI PWSS
27854,New Dhardhara 1&2 PWSS,New Dhardhara-2 PWSS
27857,ALOKJHAR PWSS,Alokjhar-2 PWSS
27859,Lotamari 1 PWSS,Lotamari-2 PWSS
27895,Teropara PWSS,Kandanapara No. 1 PWSS
27905,BHOWRAGURI MANDALPARA PWSS,BHOWRAGURI Harbhanga Pt III PWSS
27953,DHOTABIL PWSS,DAKHIN MANDALPARA DHOTABIL PWSS
28043,Naharani PWSS,Kukurjan PWSS
28223,KAKOTI GAON PWSS,KAKOTI GAON PWSS
28367,MADHYA MOHAKAL PWSS,Madhya Mohakal II PWSS
28423,Lamajuar-II PWSS,Lotarkhal II PWSS
28435,Fatepur-I PWSS,Khararpaar PWSS
28438,Fatepur-IV PWSS,Khagail Gandhirpaar PWSS
28443,Jatkapan South PWSS,Brahmansashan PWSS
28456,Kalagang PWSS,Kakura Punjee
28461,Lesrakandi PWSS,Barpurahuria II PWSS
28480,MANTAPARA PWSS,Niz Dahi Moroitol PWSS
28492,LAKHIMPUR NO.1 PWSS,Balipota Kamakhya Math PWSS
28536,Gamarital - Padmadighi PWSS,Gamarital PWSS
28571,Khagail-II PWSS,Kangter PWSS
28588,Katabari PWSS,Moirangaon Katabari PWSS
28591,East Kanishail 2 PWSS,chuatikor
28593,Deotali PWSS,Deotali II PWSS
28595,Bhutucherra PWSS,Bhutucherra I PWSS
