name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
RETROFITTING OF MATHURAPUR WSS,4541000,3882600,431400,251,7938,32404,
Retrofitting of Matikhunda Medhipam,434000,371000,41000,0,5134,30298,8187165
Retrofitting of Matikhunda PWSS,3126000,2673000,297000,0,6693,30211,5550489
RETROFITTING OF MAZIRBEEL W/S/S,6638600,5974700,663900,100,1459,23504,
Retrofitting of Meragarh Grant PWSS,7074700,6451100,716800,501,2528,19601,8174092
RETROFITTING OF MERUA W/S/S,451200,406100,45100,497,7342,27087,
Retrofitting of Mikirgaon PWSS,2073700,1866300,207400,280,5129,32100,
Retrofitting of Milonpur,3525000,3172000,352000,447,3307,32425,
RETROFITTING OF MIRIGAON PWSS,3600500,3240500,360100,279,7744,32459,
RETROFITTING OF MISSAMARI PIPED WATER SUPPLY SCHEME,761000,684900,76100,195,3234,30105,
Retrofitting of Mizibari PWSS,600000,513000,57000,0,4928,28150,8187179
RETROFITTING OF MIZIKA BAGAN PIPED WATER SUPPLY SCHEME,2259400,2033400,225900,108,6339,31113,
RETROFITTING OF MIZIKA PIPED WATER SUPPLY SCHEME,1662700,1496500,166300,290,4164,30528,
RETROFITTING OF MIZIKAJAN PIPED WATER SUPPLY SCHEME,2616900,2355200,261700,44,4183,27693,
RETROFITTING OF MIZIKAJAN T.E. PIPED WATER SUPPLY SCHEME,2996700,2697000,299700,189,6335,30094,
RETROFITTING OF MOHANPUR W/S/S,3838000,3454200,383800,80,9178,23492,8235652
RETROFITTING OF MOHKHOLI PWSS,581000,496800,55200,0,5830,29672,
Retrofitting of Mohmoria PWSS,4603300,4143100,460300,218,4955,30529,8215172
Retrofitting of Moilaali PWSS,472000,403600,44800,0,5079,28152,8198173
RETROFITTING OF MOLANDUBI (Q)PWSS,285000,256500,28500,71,1383,32556,
RETROFITTING OF MONABARI BASTI PIPED WATER SUPPLY SCHEME,1760700,1584600,176100,150,6648,31102,
RETROFITTING OF MONABARI TE PIPED WATER SUPPLY SCHEME,4230400,3807400,423000,27,825,28061,
Retrofitting of Monojuli PWSS,779000,666000,74000,20,947,30194,8132128
Retrofitting of Mornoi Bebejia PWSS,3703000,3332700,370300,238,2439,31931,
RETROFITTING OF MOTKUCHI PWSS,1017500,915700,101700,113,4108,32565,
Retrofitting of Moukhowajan PWSS,4730000,4044200,449400,0,6686,28153,6175537
RETROFITTING OF MUGDI PWSS,7448000,6368000,707600,100,2123,29336,
RETROFITTING OF MUKALIGAON PIPED WATER SUPPLY SCHEME,975900,878300,97600,93,887,31835,
RETROFITTING OF MUKHARGARH PIPED WATER SUPPLY SCHEME,664100,597700,66400,207,3020,27657,
RETROFITTING OF MULAGHATA PWSS,5300000,4531500,503500,0,1878,29419,8213306
Retrofitting of Muwamari PWSS,2651000,2266600,251800,0,1962,28154,8141733
Retrofitting of Muwamarigaon PWSS,6197000,11542500,1282500,646,2529,19551,8172105
Retrofitting of Nabil Pathar,400000,342000,38000,0,4908,28155,8196910
RETROFITTING OF NADIAPUR W/S/S,992800,893500,99300,298,1903,23484,
Retrofitting of Nagabandha PWSS,3434300,3090800,343400,438,4959,27304,8217639
Retrofitting of Nagaon PWSS,1576100,1418400,157600,239,2634,32161,3346726
Retrofitting of Naharani PWSS,1260000,1077300,119700,0,952,28216,8156393
RETROFITTING OF NAHARBARI NEW VILLAGE PIPED WATER SUPPLY SCHEME,3000700,2700600,300100,111,4181,29937,
Retrofitting of Nalbari PWSS,1068800,961900,106900,134,6668,28013,5599917
RETROFITTING OF NALBARI PWSS,370600,333500,37100,82,2601,32375,
Retrofitting of Nalinidub PWSS,2260000,1932000,215000,0,6672,30212,8237611
RETROFITTING OF NALKHAMARA PWSS,2008300,1807500,200800,82,2485,32050,
Retrofitting of Namati PWSS,7518300,6766500,751800,419,6664,25701,4658971
Retrofitting of Nambar Lalung Gaon PWSS,4112200,3705200,411700,483,6325,30532,8215076
Retrofitting of Namchuburi Panbari PWSS,957000,861000,96000,0,4693,29549,8196871
RETROFITTING OF NANDIGRAM W/S/S,2065000,1858800,206500,129,1463,23425,8154293
RETROFITTING OF NAPTIPARA PWSS,5300000,4531500,503500,0,2126,29609,
RETROFITTING OF NARAINCHERRA GRANT W/S/S,3878900,3491000,387900,160,1466,23400,8164599
RETROFITTING OF NARAPATI W/S/S,5718100,5146200,571800,165,7243,22523,
Retrofitting of Narayankati PWSS,3430000,2932700,325900,25,1062,28156,8156223
RETROFITTING OF NARAYANPUR W/S/S,7732100,6958800,773200,240,1472,23401,
RETROFITTING OF NASBAR PIPED WATER SUPPLY SCHEME,1987600,1788800,198800,303,1134,28297,
RETROFITTING OF NATANPUR GRANT W/S/S,4861200,4375000,486100,198,7278,22750,
RETROFITTING OF NATANPUR W/S/S,4288000,3859000,428800,290,1475,23427,8219259
Retrofitting of Natipara PWSS,2877100,2593000,288100,343,6323,28352,
RETROFITTING OF NATUN BUROIGHAT PIPED WATER SUPPLY SCHEME,418600,376800,41900,76,888,31296,
Retrofitting of Natupam PWSS,2526000,2159700,240000,26,1992,28157,8141761
RETROFITTING OF NAYAGHAGRA TE PIPED WATER SUPPLY SCHEME,1619000,1457100,161900,114,4999,31091,
Retrofitting of Nedhargaon PWSS,4715700,4191800,465800,226,6322,22456,8205689
RETROFITTING OF NEELCHERRA W/S/S,352000,316000,35000,294,7294,28207,
RETROFITTING OF NEHANGCHANG PIPED WATER SUPPLY SCHEME,2240900,2016800,224100,161,3032,28867,8218511
RETROFITTING OF NEIYARPAR W/S/S,4274100,3846600,427400,306,7447,22752,8223321
RETROFITTING OF NEPARPATTY WATER SUPPLY SCHEME ,2490600,2064300,229400,141,31480,32295,
RETROFITTING OF NEPARPATTY WATER SUPPLY SCHEME ,2293600,2064300,229400,141,7728,31480,8208432
RETROFITTING OF NETAJI NAGAR W/S/S,5615000,5053100,561500,469,1480,23565,
Retrofitting of Nichalamari PWSS,4843000,4141000,460000,0,6673,30419,8237581
RETROFITTING OF NISCHINTAPUR W/S/S,5182300,4664100,518200,140,1487,22830,8164640
RETROFITTING OF NIZ AMBAGAON PWSS,1396500,1256900,139700,50,4060,32347,
RETROFITTING OF NIZ BAHJANI PWSS,2761000,2360700,262300,0,2093,29426,
RETROFITTING OF NIZ BORIGOG PWSS,2689500,2420500,268900,193,2394,30726,
RETROFITTING OF NIZ FULBARI PT-I W/S/S,3752500,3377300,375300,251,7448,22754,
RETROFITTING OF NIZ HASSANG PWSS,3079000,2771100,307900,139,3458,30030,8224700
RETROFITTING OF NIZ JALALPUR W/S/S,6468000,5821200,646800,262,7279,22755,8226978
RETROFITTING OF NIZ JOYNAGAR W/S/S,4564800,4108400,456500,310,1492,23402,
RETROFITTING OF NIZ KATIGORAH PT-I W/S/S,3667000,3300300,366700,188,7449,22787,8223599
RETROFITTING OF NIZ KATIGORAH W/S/S,314000,282600,31400,360,1944,23429,
Retrofitting of Niz Khatowal  PWSS,5718300,5082100,564700,353,6712,26718,4648623
RETROFITTING OF NIZ MADORTOLA PWSS,760100,684100,76000,353,1829,31238,
RETROFITTING OF NIZ MULARKUCHI PWSS,1677000,1433800,159300,0,5854,30375,8215608
RETROFITTING OF NIZ PAKOWA PWSS,6344000,5424100,602700,0,5827,29342,
RETROFITTING OF NIZ-FULBARI W/S/S,6081000,5472800,608100,672,7159,27215,8220718
RETROFITTING OF NIZ-KATIGORAH PT-II W/S/S,3838000,3454200,383800,188,7348,22790,
Retrofitting of Niz-Lowkhowa PWSS,2688500,2419700,268900,112,7862,32191,8202462
RETROFITTING OF NIZARAPAR PIPE WATER SUPPLY SCHEME,3710800,3339700,371100,49,842,23903,8184329
RETROFITTING OF NIZTAPA PWSS,5100000,4360500,484500,0,2087,30377,
RETROFITTING OF NO 2 AMLAIGURI PIPED WATER SUPPLY SCHEME,1575400,1417800,157500,98,971,30758,
RETROFITTING OF NO. 1 JHARGAON PWSS,1370900,1233800,137100,84,2450,32031,
Retrofitting of No.2 Charialigaon PWSS,309000,264000,29000,0,4912,30410,8198179
RETROFITTING OF NO.2 IKRABARI PIPED WATER SUPPLY SCHEME,1636200,1472600,163600,133,5123,30700,
Retrofitting of No.2 Narayanpur Bagan PWSS,3600000,3078000,342000,0,6675,28160,8237444
RETROFITTING OF NOGOD W/S/S,6840000,6156000,684000,441,1461,23430,8164843
RETROFITTING OF NONKEY JAPORIGURI PIPED WATER SUPPLY SCHEME,2303000,1445700,160600,125,3042,32528,
Retrofitting of Nonoi Namkuri PWSS,872900,809900,90000,344,6321,26152,
Retrofitting of Num Bagaribari PWSS,860000,735300,81700,28,1974,28161,8141831
RETROFITTING OF NUTANPARA W/S/S,3667000,3300300,366700,115,9164,23494,8235685
Retrofitting of Oriontali PWSS,2074000,1773300,197000,164,5270,28162,8187337
Retrofitting of Osurmari PWSS,520000,445000,50000,0,1003,30405,8132892
Retrofitting of Owana PWSS,4075300,3667800,407500,359,2530,26151,8174020
RETROFITTING OF OWTAL PWSS,2536500,2282900,253700,104,6260,31532,
RETROFITTING OF PACHIM BISSANALLA PWSS,3953000,3557700,395300,316,4614,31233,
RETROFITTING OF PACHIM JARABARI PIPED WATER SUPPLY SCHEME,1795600,1616000,179600,145,5924,31360,
Retrofitting of Pachim Saragaon PWSS,3518600,3166600,351800,248,6605,32657,
Retrofitting of Pachim Senchuwa PWSS,5249300,4724300,524900,331,8151,29636,8232889
RETROFITTING OF PADUM PUKHURI PIPE WATER SUPPLY SCHEME,3263900,2937500,326400,114,1122,28131,
RETROFITTING OF PADUMPUKHURI HULANG KATONI PWSS,1271400,1144300,127100,385,9234,32687,
Retrofitting of Padumpukhuri PWSS,1466000,1253400,139300,0,1966,28166,8141972
Retrofitting of Paghali PWSS,8278300,7450500,827800,641,6656,31714,
RETROFITTING OF PAHUSUNGI DEODHAI WSS,3591300,3232200,259100,270,7742,32596,
Retrofitting of PAIKAN BONMAZA PWSS,6243000,5337800,593100,0,1854,28183,
RETROFITTING OF PAIKAN W/S/S,5902000,5312000,590000,341,7450,28208,
Retrofitting of Pakhamara PWSS,3800000,3249000,361000,207,3369,32107,
Retrofitting of Pakhimoria PWSS,7989700,7274200,808200,489,2531,19904,8174043
Retrofitting of Palashbasti PWSS,637000,545000,61000,34,1980,30402,8132739
Retrofitting of Palasoni PWSS,4025300,3475600,386200,352,4962,19598,8217656
RETROFITTING OF PANARA PWSS,2052400,1847100,205200,216,1937,30037,
RETROFITTING OF PANIBHARAL PIPED WATER SUPPLY SCHEME,2670300,2403300,267000,320,3043,30084,
Retrofitting of Panigaon PWSS,9878500,8890600,987800,362,5436,25739,8239033
RETROFITTING OF PANIGAON PWSS,5300000,4531500,503500,0,2114,29346,8202915
RETROFITTING OF PASCHIM KADAMTOLA W/S/S,5997400,5397600,599700,159,9165,23496,8235704
RETROFITTING OF PASCHIM NATANPUR W/S/S,5894800,5305300,589500,190,1496,23403,
RETROFITTING OF PATAKATA  PWSS,2900300,2610000,290000,307,973,29543,8168965
RETROFITTING OF PATHOIJAN PIPED WATER SUPPLY SCHEME,3040100,2736100,304000,159,851,27595,
Retrofitting of Patidoibherla PWSS,400000,342000,38000,0,5286,28170,8187146
Retrofitting of Patirchuk PWSS,1548500,1393700,154900,297,4400,32939,
RETROFITTING OF PATRAPUR PWSS,4225600,3803000,422600,353,4229,32591,
Retrofitting of Pavamari PWSS,680000,581000,65000,0,4664,30304,8196786
RETROFITTING OF PAVOI PIPED WATER SUPPLY SCHEME,3501100,3151000,350100,100,3026,31251,
RETROFITTING OF PECHADAHAR,3586000,3227400,358600,256,1499,23473,
RETROFITTING OF PETULIBARI PIPED WATER SUPPLY SCHEME,4167700,3750900,416800,81,862,27692,
RETROFITTING OF PHARSEATI PIPED WATER SUPPLY SCHEME,3419900,3077900,342000,117,3034,30086,
Retrofitting of Phuloguri PWSS,1282500,1154300,128300,395,8150,31710,
RETROFITTING OF PICHALA KAIBARTA PIPED WATER SUPPLY SCHEME,1662300,1421200,157900,90,5914,32492,
RETROFITTING OF PICHALA LOHITMUKH PIPED WATER SUPPLY SCHEME,630200,567200,63000,114,5111,30526,
RETROFITTING OF PIPALIBARI PWSS,5300000,4531500,503500,0,2085,30378,
RETROFITTING OF PIPULBARI,2566900,2310200,256700,246,1079,30922,8168910
RETROFITTING OF PIRNAGAR W/S/S,6587300,5928600,658700,384,7280,22795,8226959
RETROFITTING OF PITAMBAR HAT BAJALI-II PWSS,3926400,3533700,392600,410,5674,31249,
RETROFITTING OF PRATAPGARH PIPED WATER SUPPLY SCHEME,4443700,3999300,444400,169,847,22276,8184317
Retrofitting of Pub Kawaimari PWSS,3069100,2762200,306900,166,6320,28951,8201711
RETROFITTING OF PUB PANERI PWSS,605200,544600,60500,74,6595,32491,
RETROFITTING OF PUBERGRAM W/S/S,3918000,3526000,392000,295,1571,28344,
RETROFITTING OF PULISOMANY PIPED WATER SUPPLY SCHEME,3728200,3355400,372800,66,829,27691,
Retrofitting of PURANAKHIYA PWSS,3839000,3282300,364700,0,2076,28218,8212303
RETROFITTING OF PURANAKU W/S/S,3838000,3454200,383800,291,7451,22796,
RETROFITTING OF PURANDARPUR W/S/S SCHEME,4271100,3844000,427100,295,1574,23476,8164867
Retrofitting of Puranigudam PWSS,9189500,8270600,919000,771,2533,29291,8171485
RETROFITTING OF PURBA GOBINDAPUR W/S/S SCHEME,5423600,4881200,542400,384,1579,23406,8164888
Retrofitting of Putani Sutargaon PWSS,1677700,2113600,234800,258,6669,19646,5602276
Retrofitting of Raha PWSS,4386200,3947500,438600,288,6125,31619,
Retrofitting of Rahmanpur PWSS,890000,761000,84600,30,4674,30195,8215771
RETROFITTING OF RAJABARI PIPED WATER SUPPLY SCHEME,500200,450200,50000,125,1297,30525,
Retrofitting of Rajagaon PWSS,4916900,5245400,582800,414,6665,19624,4659301
RETROFITTING OF RAJATILLAH W/S/S,1624000,1462000,162000,483,7452,28209,
RETROFITTING OF RAJIBNAGAR W/S/S,6787800,6109000,678800,100,7453,22520,
RETROFITTING OF RAKHALKHALERPAR PT-I WSS,3800000,3420000,380000,252,1587,23446,
RETROFITTING OF RAKHALKHALERPAR W/S/S,3884000,3495500,388400,350,1792,23432,8165347
Retrofitting of Ramcha,3143000,2829000,314000,138,3374,32466,
RETROFITTING OF RAMNAGAR W/S/S,4341500,3907400,434200,91,9181,23470,8235710
RETROFITTING OF RAMPUR GARDEN W/S/S,429000,386400,42900,148,7134,27213,
Retrofitting of Rampur PWSS,4265000,3646600,405200,0,2125,28276,
RETROFITTING OF RAMPUR T.E W/S/S SCHEME,6809600,6128600,681000,194,1595,23407,8165361
RETROFITTING OF RAMPUR W/S/S,5864400,5277900,586400,153,1599,23408,8165383
Retrofitting of Rangagarh PWSS,1425000,1282500,142500,529,7919,31492,
Retrofitting of Rangagrabil PWSS,680000,562000,62000,0,4698,30303,8218510
RETROFITTING OF RANGCHALI KOIBARTA PIPED WATER SUPPLY SCHEME,2273900,2046500,227400,153,729,19813,8165722
RETROFITTING OF RANGCHALI SONARI PIPED WATER SUPPLY SCHEME,2083300,1874900,208300,209,1087,30095,
RETROFITTING OF RANGPUR PIPED WATER SUPPLY SCHEME,4577000,542500,60300,126,6337,31075,
Retrofitting of Ranthali PWSS,1004200,903700,100400,440,4931,27173,
RETROFITTING OF RATANPUR COLONY W/S/S,8434100,7590700,843400,331,5790,22521,
RETROFITTING OF RAVAPARA CHETNAGURI PWSS,688000,588200,65400,170,2577,29726,8191129
Retrofitting of Rekamari PWSS,1050000,897800,99800,0,4680,28171,8196816
RETROFITTING OF RONGHAR WSS ,5382000,4843800,538200,195,1605,23412,8178851
RETROFITTING OF RONGPUR W/S/S SCHEME,4626000,4163700,462600,256,1615,23434,8159623
RETROFITTING OF ROTOWA PATHAR PIPED WATER SUPPLY SCHEME,2328700,2095900,232900,305,4171,30790,
Retrofitting of Roumari-Muktapur PWSS,4896000,4186000,465000,279,3379,31058,1853820
RETROFITTING OF ROWMARI PIPED WATER SUPPLY SCHEME,1375000,1237500,137500,99,1097,30229,
Retrofitting of Rowmari PWSS,1175000,1005000,112000,0,6689,30246,6242836
Retrofitting of Rowmari PWSS,3359500,3321000,369000,1137,6655,31670,
RETROFITTING OF ROYPUR W/S/S SCHEME,4479300,4031300,447900,192,1619,23409,8165423
RETROFITTING OF RUPIABATHAN PWSS,5300000,4531500,503500,0,2146,28882,
RETROFITTING OF SABUKDHARA PWSS,1913700,1818000,202000,48,2343,32048,
RETROFITTING OF SADHARU PIPED WATER SUPPLY SCHEME,8303100,7472800,830300,98,3242,25762,
RETROFITTING OF SADULLABARI PWSS,2784400,2506000,278400,305,993,30940,8168975
RETROFITTING OF SAIDPUR PT-III W/S/S,380000,342000,38000,135,7454,27211,
RETROFITTING OF SAKOMATHA PIPED WATER SUPPLY SCHEME,1895200,1705700,189500,96,859,27598,
RETROFITTING OF SAKOMATHA T.E. PIPED WATER SUPPLY SCHEME,2343500,2109100,234300,97,857,30619,
RETROFITTING OF SAKURA PIPED WATER SUPPLY SCHEME,1408300,1267500,140800,197,5922,31896,
RETROFITTING OF SALAKATI PWSS,564100,507700,56400,490,2604,31889,
RETROFITTING OF SALCHAPRA GRANT W/S/S,2556000,2300000,255600,200,7455,27209,8243574
RETROFITTING OF SALCHAPRA PT-III W/S/S,791000,712200,79100,210,1899,23436,
RETROFITTING OF SALCHAPRA W/S/S,2394000,2155000,239400,326,1628,23449,8165672
RETROFITTING OF SALEDOL PWSS,1165700,1049100,116600,280,4149,32592,
RETROFITTING OF SALIMABAD W/S/S,570000,513000,57000,205,7456,27208,
Retrofitting of Samaguri PWSS,7094300,6393700,710400,355,6303,28899,8217690
Retrofitting of Samuguri Grant PWSS,5112800,4606000,511800,217,2534,25617,
RETROFITTING OF SANJURAI WSS,760000,684000,76000,196,1630,23448,
RETROFITTING OF SANTIPUR PIPED WATER SUPPLY SCHEME,5254300,4728900,525400,235,844,27694,8184488
Retrofitting of Santipur PWSS,524000,448000,49800,29,5289,28181,8187193
RETROFITTING OF SANTIPUR WSS,1276800,1091600,185200,450,7939,32174,
RETROFITTING OF SAPKATA PWSS,5300000,4531500,503500,0,2770,29755,
RETROFITTING OF SARAIL W/S/S SCHEME,6809600,6128600,681000,248,1634,23414,
Retrofitting of Sariahtoli PWSS,6374000,5736200,637400,341,4932,32655,
RETROFITTING OF SARISHAKURI W/S/S SCHEME,4702000,4231400,470200,315,1639,23438,
Retrofitting of Satemari PWSS,498000,425800,47300,0,2130,28285,
Retrofitting of Satipukhuri PWSS,1918000,1640000,182000,0,6684,30387,6242604
RETROFITTING OF SELAIKHATI PIPED WATER SUPPLY SCHEME,2820600,2538500,282100,188,3177,27592,
Retrofitting of Senchowa PWSS,4289300,3860300,428900,300,4935,32540,
RETROFITTING OF SERELIA BENGALI PIPED WATER SUPPLY SCHEME,1469300,1322400,146900,167,731,28431,
RETROFITTING OF SESSAPANI PWSS,483600,435200,48400,156,2583,29731,8204658
RETROFITTING OF SEUTI PT- I W/S/S,6662000,5995500,666200,418,7457,27206,8223329
RETROFITTING OF SEUTI PT-II W/S/S,5131000,4617900,513100,200,7458,22802,
RETROFITTING OF SEUTI PT-III W/S/S,4442400,3998200,444200,166,7459,22803,
RETROFITTING OF SEUTI PT-IV W/S/S,4274100,3846600,427400,292,7460,22805,
RETROFITTING OF SEUTI W/S/S,5889000,5300100,588900,194,7461,22798,
RETROFITTING OF SHANTIPUR W/S/S,6724500,6052000,672400,212,7157,22811,8223827
RETROFITTING OF SHIBTILLAH (SIALTEK),4217000,3795300,421700,378,7462,22813,8227155
Retrofitting of Shyamaguri PWSS,3438000,2940000,327000,25,946,30398,8141044
Retrofitting of Sialekhowa PWSS,3229900,2915000,323900,218,6307,29944,8217742
RETROFITTING OF SIBBARI WSS,3790000,3411000,379000,180,1641,28343,8165804
RETROFITTING OF SIBNARAYANPUR W/S/S,3585000,3226800,358500,326,1645,23489,8165940
RETROFITTING OF SIDDESWAR W/S/S,3031000,2728100,303100,536,7463,27205,8223621
RETROFITTING OF SIDDESWAR W/S/S,3031000,2728000,303000,536,27205,28633,
RETROFITTING OF SIDDIPUR W/S/S,4131500,3718300,413100,249,7350,22814,8223525
RETROFITTING OF SIDDIPUR W/S/S,4131000,3718300,413100,249,22814,31728,
RETROFITTING OF SIJUBARI PIPED WATER SUPPLY SCHEME,2101000,1890900,210100,179,4162,30090,
RETROFITTING OF SILDAR W/S/S,744900,670400,74500,173,1649,23479,8165943
Retrofitting of Silikhabari PWSS,1810000,1547600,172000,0,1288,28182,8156257
Retrofitting of Silonijan Zone II PWSS,2891600,2602400,289200,130,2160,28432,8175870
RETROFITTING OF SIMALIYA PWSS,6050000,5172800,574800,0,2787,29622,
RETROFITTING OF SIMALUA BORIGOG PWSS,3078000,2770200,307800,195,4621,31483,
RETROFITTING OF SIMALUGURI WSS,3562000,3045500,516500,251,7826,32289,
Retrofitting of Simlabari PWSS,4948000,4230000,470000,261,3561,30839,1791828
RETROFITTING OF SIMULTOLA W/S/S,418000,376100,41800,108,1764,23439,
RETROFITTING OF SINDURA CHA BAGICHA W/S/S,3468000,3121200,346800,265,7331,27070,8226967
Retrofitting of Singia PWSS,1951300,1756200,195100,170,2432,31761,
Retrofitting of Singimari Bangali PWSS,1876300,1688600,187600,100,5265,28184,8187315
Retrofitting of Singri Bagan PWSS,2652000,2267500,251900,0,1273,28186,8141098
Retrofitting of Sitalmari Gopchar PWSS,3064000,2619700,291100,0,1143,28189,8137635
Retrofitting of Sitalmari PWSS,2652000,2267500,251900,0,1260,28190,8132750
RETROFITTING OF SONACHERRA GRANT W/S/S,886000,797700,88600,167,7132,27204,
RETROFITTING OF SONAJULI PIPED WATER SUPPLY SCHEME,927900,835100,92800,100,5126,31809,
RETROFITTING OF SONAPUR NC PIPE WATER SUPPLY SCHEME,1603700,1443300,160400,109,1303,31264,
RETROFITTING OF SONAPUR W/S/S,3018800,2716900,301900,456,7410,27084,
RETROFITTING OF SONAPUR(PATAKHAIPAR) W/S/S,4999300,4499400,499900,308,1532,23419,8165961
Retrofitting of Sopai No.3 PWSS,410400,369400,41000,30,940,28192,8132847
Retrofitting of Sopai No.4 PWSS,551000,471100,52300,53,938,28194,8132850
Retrofitting of Sopai Rowmari PWSS,2879000,2461500,273500,0,6674,28195,8237390
Retrofitting of Sopai TE PWSS,2880400,2592400,288000,0,937,28196,8132861
RETROFITTING OF SOULA PWSS,3158800,2842900,315900,140,6272,32653,
RETROFITTING OF SOUTH MASIMPUR W/S/S,4650300,4185300,465000,190,2859,23422,
RETROFITTING OF SRIDHARPUR  W/S/S,231600,208400,23200,170,1541,23474,8165969
RETROFITTING OF SRIKONA  W/S/S,5529200,4976300,552900,330,1570,23431,
RETROFITTING OF SRIKONA GRANT  W/S/S,6688600,6019700,668900,532,1550,23465,
RETROFITTING OF SRIKONA PT I  W/S/S,5614700,5053300,561500,348,1553,23424,8166338
RETROFITTING OF SRIKONA PT II  W/S/S,5443700,4899400,544400,365,1556,23426,
RETROFITTING OF SRIKONA PT III W/S/S,5529200,4976300,552900,180,1565,23428,8195621
RETROFITTING OF SRINAGAR W/S/S,1615000,1453500,161500,230,7464,22383,
RETROFITTING OF SRIPUR,1320800,1188700,132100,257,7381,32622,
RETROFITTING OF SRIPUR W/S/S,4879000,4391300,487900,386,7162,27203,8220731
RETROFITTING OF SUBONG GARDEN W/S/S,8470900,7623800,847100,416,7411,22829,8222225
Retrofitting of Sumoni Medok PWSS,633700,570300,63400,132,4441,32967,
Retrofitting of Sunapur Maji PWSS,1706000,1536000,170600,291,2636,33044,
RETROFITTING OF SUNDARPUR PIPED WATER SUPPLY SCHEME,1044100,939700,104400,219,6336,30104,
Retrofitting of Sutar Panigaon PWSS,4585700,4127100,458600,262,8381,24580,8232991
RETROFITTING OF SUTARKUCHI PWSS,2812000,2404300,267100,0,5838,29339,8215730
RETROFITTING OF TALKAR GRANT W/S/S,1140000,1026000,114000,449,7465,27201,
Retrofitting of Tamar Gaon PWSS,536800,483100,53700,127,2622,32388,
Retrofitting of Tamulitup PWSS,7560600,6804500,756100,354,6666,26441,5604353
RETROFITTING OF TAPANG  W/S/S,468100,421300,46800,152,1578,23478,
RETROFITTING OF TARANI PWSS,2803200,2522800,280300,217,1542,31163,8175309
RETROFITTING OF TARAPUR (KALAIN) W/S/S,7692000,6922800,769200,633,1580,23440,
RETROFITTING OF TARAPUR PT I  W/S/S,4571900,4114700,457200,218,1583,23433,
RETROFITTING OF TARAPUR PT IV,9405000,8464500,940500,555,1589,23447,8166502
RETROFITTING OF TARAPUR PT VI  W/S/S,5529200,4976300,552900,502,1590,23435,
RETROFITTING OF TARAPUR PT-V W/S/S,4294000,3864600,429400,126,7467,22522,
RETROFITTING OF TARAPUR PT-VII W/S/S,5443700,4899400,544400,425,7468,22815,
RETROFITTING OF TARAPUR PT-VIII,5529200,4976300,552900,350,7466,22816,
RETROFITTING OF TARINIPUR  PT I W/S/S,3000000,2699600,300000,250,1596,23441,
RETROFITTING OF TARUTAZABARI PT I W/S/S,4752000,4276800,475200,293,7469,22817,8223655
RETROFITTING OF TATARKUCHI PWSS,3135000,2821500,313500,155,6278,29604,5849345
RETROFITTING OF TELDHALA PWSS,2690000,2421000,269000,146,1086,31125,8168982
RETROFITTING OF TELENGONIA PIPED WATER SUPPLY SCHEME,1424400,1282000,142400,241,1129,30103,
Retrofitting of Telia Bebejia PWSS,2189000,1970100,218900,566,7917,29367,
Retrofitting of Teliapahukata PWSS,7719700,9730800,1081200,750,6659,19597,4660604
RETROFITTING OF TELITIKAR W/S/S,5934900,5341400,593500,390,7470,22818,
Retrofitting of Tenga Am PWSS,1925000,1732500,192500,275,2629,32999,
RETROFITTING OF TETELI BHANGURI  PWSS,1983600,1785200,198400,114,8541,32399,
Retrofitting of Tetelisora PWSS,2612400,2351100,261200,239,5130,29941,8217780
Retrofitting of Thaikarkuchi PWSS,2525000,2159000,240000,443,3568,30838,1853644
RETROFITTING OF THAKURIAPARA PWSS,4389500,3950600,439000,210,6279,29674,6073464
Retrofitting of Thalkuchi PWSS,2064000,1765000,196000,96,3569,31346,1933332
Retrofitting of Thekeraguri PWSS,1415000,1273500,141500,379,3272,33077,8198578
Retrofitting Of Thekerajuli PWSS,400000,342000,38000,0,4564,28213,8196023
RETROFITTING OF THEMKALINE MPWSS (NEAR LP SCHOOL),1370900,1233800,137100,29,7401,32090,
RETROFITTING OF TIKAR BURUNGA W/S/S,5379200,4841300,537900,96,9179,23469,
RETROFITTING OF TILANA PWSS,2650000,2265800,251800,0,2089,29378,
RETROFITTING OF TINISUKIA MIRI GAON PIPED WATER SUPPLY SCHEME,983300,885000,98300,312,4988,28412,
Retrofitting of Tinsukia PWSS,3168900,2852000,316900,237,4940,31019,8215182
RETROFITTING OF TINTIKREE  W/S/S,3789500,3410500,378900,250,1598,23437,
RETROFITTING OF TOKOWBARI PIPED WATER SUPPLY SCHEME,590000,531000,59000,110,889,31336,
Retrofitting of Topakuchi PWSS,4135000,3730400,414500,144,6310,30799,8201746
RETROFITTING OF TORCHENGABARI PIPED WATER SUPPLY SCHEME,986200,887600,98600,100,5916,31909,
RETROFITTING OF TUKERGRAM  W/S/S,7152000,6436800,715200,280,1604,23467,
RETROFITTING OF TULAMATI PWSS,552000,496800,55200,110,4150,30317,
RETROFITTING OF TULSIBARI PT.1 PWSS,2376100,2138500,237600,470,2389,31949,
Retrofitting of Tumuki PWSS,850000,727000,81000,0,5264,30197,8187307
RETROFITTING OF TUPKHANA PT I  W/S/S,6859000,6173300,685900,612,1606,23442,
RETROFITTING OF TUPKHANA PT II W/S/S,665000,598500,66500,325,7471,27044,
Retrofitting of Tupuliauttarpara,3221000,2754000,306000,180,3570,31059,1781943
